5000000, 1, 1.029289, 0.254137
5000000, 2, 0.245691, 0.263607
5000000, 3, 0.273458, 0.268831
5000000, 4, 0.276412, 0.262523
5000000, 5, 0.271766, 0.268511
10000000, 1, 2.191607, 0.568014
10000000, 2, 0.551077, 0.541965
10000000, 3, 0.541178, 0.548046
10000000, 4, 0.534814, 0.553945
10000000, 5, 0.578257, 0.577786
15000000, 1, 3.477118, 0.831479
15000000, 2, 0.852375, 0.864509
15000000, 3, 0.856494, 0.843679
15000000, 4, 0.862220, 0.850700
15000000, 5, 0.855115, 0.837362
20000000, 1, 4.479983, 1.090842
20000000, 2, 1.089205, 1.104578
20000000, 3, 1.108621, 1.078775
20000000, 4, 1.071374, 1.083719
20000000, 5, 1.076196, 1.079820
25000000, 1, 5.809073, 1.384310
25000000, 2, 1.395563, 1.370267
25000000, 3, 1.396839, 1.398901
25000000, 4, 1.382504, 1.421651
25000000, 5, 1.409414, 1.435746
30000000, 1, 7.000447, 1.732600
30000000, 2, 1.685591, 1.693258
30000000, 3, 1.699164, 1.725957
30000000, 4, 1.673814, 1.675045
30000000, 5, 1.673163, 1.651191
35000000, 1, 8.040599, 1.931830
35000000, 2, 1.935269, 1.945884
35000000, 3, 1.950224, 1.927079
35000000, 4, 1.959122, 2.036190
35000000, 5, 1.994545, 2.045544
40000000, 1, 9.321653, 2.242818
40000000, 2, 2.269475, 2.226078
40000000, 3, 2.237356, 2.242989
40000000, 4, 2.238692, 2.294116
40000000, 5, 2.324551, 2.413536
45000000, 1, 10.845544, 2.546455
45000000, 2, 2.559456, 2.590857
45000000, 3, 2.527478, 2.534542
45000000, 4, 2.562372, 2.547111
45000000, 5, 2.581173, 2.543921
50000000, 1, 12.824842, 2.872960
50000000, 2, 2.851464, 2.930460
50000000, 3, 2.860446, 2.827322
50000000, 4, 2.894219, 2.996427
50000000, 5, 3.147960, 3.018471
